,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
0,b128,0,45.0,0,Capomulin,Female,9,22
1,f932,0,45.0,0,Ketapril,Male,15,29
2,g107,0,45.0,0,Ketapril,Female,2,29
3,a457,0,45.0,0,Ketapril,Female,11,30
4,c819,0,45.0,0,Ketapril,Male,21,25
5,h246,0,45.0,0,Ketapril,Male,13,30
6,p189,0,45.0,0,Ketapril,Male,8,28
7,n923,0,45.0,0,Ketapril,Male,19,30
8,q119,0,45.0,0,Ketapril,Male,17,30
9,f993,0,45.0,0,Naftisol,Male,21,28
10,z234,0,45.0,0,Naftisol,Female,19,27
11,b559,0,45.0,0,Naftisol,Male,20,26
12,y260,0,45.0,0,Ketapril,Female,7,25
13,x930,0,45.0,0,Naftisol,Male,13,26
14,o725,0,45.0,0,Naftisol,Male,4,26
15,z969,0,45.0,0,Naftisol,Male,9,30
16,v835,0,45.0,0,Naftisol,Male,7,29
17,r604,0,45.0,0,Naftisol,Male,7,30
18,n304,0,45.0,0,Naftisol,Male,9,26
19,l700,0,45.0,0,Naftisol,Female,18,27
20,x336,0,45.0,0,Naftisol,Female,4,29
21,l725,0,45.0,0,Naftisol,Female,8,26
22,m133,0,45.0,0,Naftisol,Female,2,26
23,v295,0,45.0,0,Naftisol,Female,2,27
24,a818,0,45.0,0,Naftisol,Female,12,28
25,y601,0,45.0,0,Naftisol,Female,23,25
26,t724,0,45.0,0,Naftisol,Female,2,25
27,k382,0,45.0,0,Ketapril,Male,22,29
28,w422,0,45.0,0,Ketapril,Female,18,26
29,c326,0,45.0,0,Infubinol,Female,18,25
30,c139,0,45.0,0,Infubinol,Male,11,28
31,v339,0,45.0,0,Infubinol,Male,20,26
32,a577,0,45.0,0,Infubinol,Female,6,25
33,y163,0,45.0,0,Infubinol,Female,17,27
34,k483,0,45.0,0,Infubinol,Female,20,30
35,k804,0,45.0,0,Infubinol,Female,23,29
36,o809,0,45.0,0,Infubinol,Male,3,25
37,z581,0,45.0,0,Infubinol,Female,24,25
38,a251,0,45.0,0,Infubinol,Female,21,25
39,i386,0,45.0,0,Infubinol,Female,23,29
40,c580,0,45.0,0,Ketapril,Male,22,25
41,q132,0,45.0,0,Infubinol,Female,1,30
42,u327,0,45.0,0,Ketapril,Male,17,25
43,v603,0,45.0,0,Ketapril,Female,22,30
44,f278,0,45.0,0,Ketapril,Male,12,30
45,g497,0,45.0,0,Ketapril,Male,19,28
46,d474,0,45.0,0,Ketapril,Male,18,27
47,o973,0,45.0,0,Ketapril,Female,11,29
48,c832,0,45.0,0,Ketapril,Male,18,29
49,o331,0,45.0,0,Ketapril,Male,24,30
50,m650,0,45.0,0,Ketapril,Male,15,27
51,v289,0,45.0,0,Ketapril,Female,3,26
52,m550,0,45.0,0,Ketapril,Male,18,28
53,h428,0,45.0,0,Ketapril,Female,1,27
54,r701,0,45.0,0,Naftisol,Male,21,25
55,v199,0,45.0,0,Naftisol,Female,17,29
56,x264,0,45.0,0,Naftisol,Female,21,27
57,f234,0,45.0,0,Stelasyn,Male,14,28
58,c458,0,45.0,0,Ramicane,Female,23,20
59,q610,0,45.0,0,Ramicane,Female,18,21
60,j913,0,45.0,0,Ramicane,Female,4,17
61,a411,0,45.0,0,Ramicane,Male,3,22
62,a444,0,45.0,0,Ramicane,Female,10,25
63,d251,0,45.0,0,Ramicane,Female,8,19
64,j989,0,45.0,0,Ramicane,Male,8,19
65,y449,0,45.0,0,Ramicane,Male,19,24
66,k403,0,45.0,0,Ramicane,Male,21,16
67,c758,0,45.0,0,Ramicane,Male,9,17
68,x402,0,45.0,0,Stelasyn,Male,21,28
69,r811,0,45.0,0,Ramicane,Male,9,19
70,a644,0,45.0,0,Ramicane,Female,7,17
71,i177,0,45.0,0,Ramicane,Male,10,18
72,g791,0,45.0,0,Ramicane,Male,11,16
73,a520,0,45.0,0,Ramicane,Male,13,21
74,u196,0,45.0,0,Ramicane,Male,18,25
75,m546,0,45.0,0,Ramicane,Male,18,16
76,w678,0,45.0,0,Ramicane,Female,5,24
77,n364,0,45.0,0,Ramicane,Male,4,17
78,s508,0,45.0,0,Ramicane,Male,1,17
79,e662,0,45.0,0,Ramicane,Male,8,24
80,z578,0,45.0,0,Ramicane,Male,11,16
81,r921,0,45.0,0,Ramicane,Female,5,25
82,a492,0,45.0,0,Stelasyn,Male,20,25
83,w540,0,45.0,0,Stelasyn,Female,8,26
84,v764,0,45.0,0,Stelasyn,Female,5,30
85,z795,0,45.0,0,Naftisol,Female,13,29
86,e291,0,45.0,0,Naftisol,Female,14,29
87,e584,0,45.0,0,Naftisol,Male,9,27
88,e213,0,45.0,0,Naftisol,Male,8,27
89,j755,0,45.0,0,Naftisol,Male,23,27
90,s565,0,45.0,0,Stelasyn,Female,3,29
91,a366,0,45.0,0,Stelasyn,Female,16,29
92,p387,0,45.0,0,Stelasyn,Male,3,30
93,b879,0,45.0,0,Stelasyn,Female,4,26
94,i901,0,45.0,0,Stelasyn,Male,23,29
95,k862,0,45.0,0,Stelasyn,Female,13,25
96,g867,0,45.0,0,Stelasyn,Female,9,25
97,s619,0,45.0,0,Stelasyn,Male,22,30
98,w697,0,45.0,0,Stelasyn,Female,14,30
99,j984,0,45.0,0,Stelasyn,Female,2,30
100,c402,0,45.0,0,Stelasyn,Female,1,27
101,h333,0,45.0,0,Stelasyn,Male,21,27
102,k510,0,45.0,0,Stelasyn,Female,8,27
103,p981,0,45.0,0,Stelasyn,Male,20,29
